company,mse,rmse,mape
AAL,504688.9119260183,710.414605653641,312.5900265299819
AAPL,126731480.95487434,11257.507759485416,26.30027348298877
AAP,47518.39595247516,217.9871463010495,63.43066044314233
AAT,34646063499999.996,5886090.680579089,5.882254937847534
ABBV,1050075.3108405166,1024.7318238644277,16.6465174604324
ABG,5008.224252542312,70.76880847196956,27.241539159283167
ABT,991558.2874806384,995.7701981283826,39.587975669897595
ACCO,992732167604658.0,31507652.524500426,64.05199547302938
ACHC,192.5054942447854,13.874634922937087,6.247753964403743
ACIW,3143670782990292.5,56068447.30318731,46.062527164090355
ACM,676.7952456666673,26.015288690819236,7.143967764399038
ADBE,16357.305228873198,127.89568104073412,5.033126369111033
ADC,235.00056472943757,15.329728136188116,8.392779101515318
ADI,47405.07118619964,217.72705662411283,19.105739940236834
ADM,133513.11921961012,365.39447070202107,35.100116841597576
ADP,7486.901963333075,86.52688578316612,5.685983070833803
ADSK,8864.208854211165,94.14992753162991,23.043692072394265
ADT,9464628535935302.0,97286322.45046218,12.623569605555836
AGCO,237639.05794966104,487.48236680895553,162.69681291456808
AIR,243.5901710701096,15.60737553434624,60.11029435256475
AKAM,3172.5289772170468,56.32520729848268,16.121432017945793
ALB,587972.8941777177,766.7939059341289,639.3625566658343
ALGT,11724.389629030338,108.27922067059006,147.29970037958788
ALK,26357.056162819426,162.34856378428307,164.30620176773076
ALV,11260.75805559911,106.1167190201389,22.5864505440883
AMAT,14367.35326712725,119.86389476037915,4.823075380857983
AMCX,665.43430050709,25.796013267694875,18.953071908250188
AMC,1.3191355067880042e+16,114853624.53087862,167.7037776104107
AMD,316970.2943661108,563.0011495246797,32.00357738002735
AMGN,332729.3946296459,576.8270058081937,17.731461065032924
AMH,1596.6328470696342,39.957888421056914,11.743095880875648
AMKR,646.3054932398811,25.422539079326462,7.100867089245398
AMT,438244.9586531138,662.000724057847,30.536387565256994
AMZN,79761829.04377943,8930.947824490939,25.681222044820316
AN,4302.544483973655,65.59378388211535,12.133469458652995
APD,24805.55119092471,157.49778154286716,10.754609317634694
APEI,122.93445948330752,11.087581318002025,194.4565779768888
APH,45640.164775402816,213.63558873793198,18.105988743150096
ARE,1814.1862151871046,42.59326490405619,5.775503680716378
ARMK,2306669705092886.5,48027801.3768368,13.693335388623282
ARW,4920.918571680789,70.14925923828982,25.151266193809935
AR,71441.22641102558,267.28491616816984,111.21359269228282
ASGN,554.935449798343,23.55706793721033,20.954173040845934
ASH,7680.934797332141,87.6409424717246,556.9829452314665
ATGE,542604011315384.8,23293862.095311392,17.698778240381795
ATI,4240.112289192552,65.11614461247343,29.726314293538376
ATR,530.6849234683183,23.036599650736616,11.070500271347607
AVB,10137.00872733334,100.68271315043779,11.882513184917071
AVGO,1308077.24905979,1143.7120481396487,13.900123824478044
AVNT,1292598142224718.8,35952720.92936387,27.094154497450724
AVT,14138.946618738299,118.90730262998274,54.72186806138942
AVY,2244.7434228726015,47.37872331408479,12.726663375788219
AXTA,3912.3828200797457,62.54904331866112,22.435506877832367
AZO,8599.221779059895,92.73198897392363,6.049755386453673
AZZ,75.30779859203724,8.678006602442593,8.188243566129987
A,5077.962795378218,71.25982595669329,14.716105829746745
BAH,38761.1467103374,196.87850748707285,35.200399499084604
BAX,88913.7071940947,298.18401565827554,103.26468670141142
BBWI,8.064678370521075e+16,283983773.6653465,94.0214141518589
BBY,10086.73265162853,100.43272699488216,13.401428898623195
BCC,3253.412808018215,57.03869570754765,29.963328486757206
BC,8336.14910184156,91.30251421424035,36.417180500439414
BDC,344.90513997100453,18.571621899311985,16.434439587934044
BDX,53335.77145563601,230.94538630515225,12.847449018708085
BECN,1287.2155039999482,35.87778566188204,19.29116758752962
BERY,3610.2906353470557,60.08569409890391,12.613427595528638
BFAM,548.1649161614213,23.412921991101864,20.23819508287328
BGS,239.70071739970433,15.482271067246701,14.606232518980097
BIIB,75950.85516757487,275.591827105912,37.20053644129315
BIO,1405316.0860091848,1185.4602844503838,39.588632679062826
BKNG,8.677199053138579e+17,931514844.3872797,31.448388708176434
BLDR,1072754.502770357,1035.7386266671515,178.71641608511533
BLMN,4799.004119478385,69.27484478133736,336.8337531389754
BMY,29550016.472918775,5435.992685142132,35.649593007909814
BR,1794.8920515892735,42.36616635464287,10.882470151849173
BSX,24179.97273738657,155.49910847778702,10.87684336871771
BTU,35671.577765822985,188.86920809338665,78.4786066636137
BWA,24313.85856462849,155.9290177119977,32.592736587193336
BXC,19572.41781305538,139.90145750868854,285.5422089203794
BYD,2805.285172852984,52.96494286651298,17.36604977724152
BZH,666126248019396.6,25809421.690913506,83.10780003333257
CABO,1515921155484938.8,38934832.16202349,17.70232526917416
CAG,1502.5132629202835,38.76226596730748,5.149462441227439
CAH,1.2765918166649504e+16,112986362.74634875,16.27434007595963
CAT,123629.5000000001,351.60986903100445,7.786804829510705
CBT,4000.3384815295353,63.24822907820847,30.121672801671878
CCI,16995.612452716367,130.36722154251953,11.944058323334323
CCK,4130.423244924649,64.26836893001602,12.692883492998556
CCO,1080.1311812996164,32.8653492496218,18.210583570346014
CCS,1633143468188273.2,40412169.80302188,28.079245440397266
CDE,1606.0596156666668,40.075673614633935,35.460849274939335
CDNS,9843.210379355158,99.21295469521688,15.424932012415962
CDW,2311610798070509.5,48079213.78382252,9.321727040652894
CENX,1304.0835641399565,36.11209719941444,263.33190087745453
CHDN,10935.907071660016,104.5748873853566,32.7555331216479
CHH,355.2652256322588,18.84848072477617,12.947124596010143
CHRW,3159.105778602175,56.20592298505714,22.439092189752195
CHTR,9125.83628756656,95.5292431016103,1.519407910232558
CHX,390379112333333.5,19758013.876230918,8.910102787369697
CIEN,3186.757602051624,56.45137378356371,78.77847251509694
CLF,888261.0486568903,942.4760202025781,557.7635304369126
CLH,907.3158056392059,30.121683313507,10.24712043558883
CLW,348.7876243138803,18.675856722353604,33.846317855299326
CL,11740.843677908728,108.35517374776678,8.86388924717092
CMCO,197.36806040812914,14.048774338287634,21.438559765395475
CMC,24066.18823110158,155.13280836464472,64.25426809451473
CMI,362669.16951357806,602.2202001872555,18.071422258226022
CMP,154.65522666902325,12.436045459430552,38.644808449539674
CNX,3268.90346069373,57.17432518791743,31.571981556953688
COMM,3713.5402651795534,60.938823956321585,14.578671592657294
COP,256754.83333333334,506.7098117594856,7.121267302048871
COR,2.439829549379656e+16,156199537.43144235,12.567983069264512
COST,321217.1010803864,566.7601795119223,16.15307378584966
COTY,7334.386288405415,85.64103157018495,53.1063909028015
CPB,5893.575735659517,76.76962768998894,13.524885610331719
CPT,209.0386849328374,14.458170179273635,3.484955139509962
CQP,204816.4075164015,452.56646751212304,40.30361934742353
CRC,156296.50037210283,395.34352198069826,453.31252310114775
CRK,97671.92409203945,312.5250775410502,221.36747895468568
CRM,194902.8177384181,441.47799236022865,14.398392313625493
CROX,10987.900716345393,104.82318787532363,38.04975788671012
CRS,2456.689826860316,49.56500607142418,35.79127220801049
CRWD,5.32734195351255e+20,23081035404.661877,1599553.5498246988
CSCO,527633.1258065965,726.3835941199363,16.89587377150502
CSGP,6073.179942616796,77.93060979240953,263.7054730662054
CSGS,23.743063097473605,4.872685409245461,6.728911449990778
CSL,4620.509034582395,67.97432629002213,18.144286792811528
CSV,16.54064234925435,4.067018852827505,13.987476808404676
CTRA,3.48834733136254e+17,590622326.9876056,66.70414533256718
CUBE,143.81893052377782,11.992453065314779,5.931843683891212
CUZ,41.521446166666735,6.44371369372249,3.5315231136275127
CVI,2560.6309582536264,50.60267738226532,28.72406793944125
CVS,1272893.7310616763,1128.2259219950924,27.068570747340566
CVX,2003199.0,1415.3441277653997,12.195491987845893
CXW,2243.8551643957603,47.3693483636387,64.8760243414871
CZR,344647.9608460385,587.0672541081119,63.09777436886669
DAL,514165.0497546505,717.0530313405352,27.319356069036203
DAN,1072.9431754940013,32.75581132400786,14.866795649829742
DAR,1272.5819331666669,35.67326636525827,12.858030853168657
DBD,1035.7013438455895,32.1823141468352,30.250605529637202
DD,8518.166666666666,92.29391457006614,11.636732255997684
DE,1499946.52911669,1224.723041800345,35.708911705723004
DGX,2122.3864523245716,46.06936566010619,8.411359425068406
DG,20544.399771128632,143.33317749610043,18.698159408400613
DHI,3.803787128751229e+16,195033000.50891975,11.174116795951988
DHR,26872.833333333314,163.92935470297354,7.159272304700481
DKS,4408.40244180828,66.39580138689705,9.540066559088837
DK,25942.805120921403,161.06770353153175,127.75017584395431
DLR,10951.420125390638,104.64903308387822,15.498919176391073
DLTR,16879.14689160535,129.9197709804222,19.5914920661953
DLX,445.2014020076576,21.099796255121934,19.360438235858172
DOC,78543.13758382191,280.2554862689077,55.45664208537531
DOV,39948.549223968716,199.8713316710746,13.264149376499521
DRI,17496.99499509165,132.2762072146448,26.884910131470075
DVA,5663.201643166661,75.25424667862048,10.230014017638284
DVN,415398.3607820808,644.5140501044805,31.466784462694335
DXC,3.704052991115428e+16,192459164.26908407,63.26373927969438
DXPE,209.2553456707869,14.465660913722086,27.233182679400965
DY,436.3260532437496,20.888419117868867,12.812394240100266
EA,6968.479719211885,83.47742041541464,15.954718771920486
EBAY,38385.24729072047,195.9215335044121,30.393396625560005
EBS,31636.42545488995,177.86631343480965,1044.074801625789
ECL,79805.00493668624,282.4977963395223,32.016821363658785
EFX,3076.250821437389,55.46395966244557,10.562694327808634
EGP,1782.3955143606806,42.21842624211235,36.29833981746759
EHC,1289905023095175.5,35915247.77994961,11.365172772777312
EMN,5787.603971425963,76.07630361305657,16.780892084988466
EMR,51761.08715716676,227.5106308662669,17.878238831858013
ENLC,2973.322801082237,54.52818354834715,14.43522605020322
ENR,2755.751470140154,52.495251881862174,179.75236518281648
ENS,308.05985738377603,17.551634037427284,11.109956701985817
ENTG,3743.231929530484,61.18195754902326,27.951680900600014
EOG,440593.213077048,663.7719586402005,20.104911347843903
EPC,518.7314407348972,22.775676515416556,29.212366090538367
EPR,1152.5310923995414,33.94894832538324,16.404549807331705
EQIX,25971.776544333276,161.15761398188195,13.738222253101231
EQR,25846.489150867317,160.76843331595703,18.240995494648118
EQT,397534.35517046624,630.5032554796734,73.8338018049926
EW,23060.1828244757,151.85579615041271,34.18111075555086
EXPE,122925.62570935301,350.60750948796436,60.84825453047634
EXP,271.1916641414172,16.467897987946646,6.757871353904179
EXR,40161.321182555184,200.40289714112214,29.852669270531962
FANG,249879.45071878025,499.8794361831463,14.668011869373409
FCN,539.4666997564798,23.22642244850635,20.687088990211656
FCX,389155.99378614844,623.8236880610966,22.770950204519277
FDX,79963.4255784808,282.7780500294901,9.157136492336846
FET,12.166497813942376,3.4880507183729965,21.30838459519574
FICO,155.1924091713911,12.457624539670118,6.286200004185667
FLO,442.28247220966074,21.030512885083443,15.440864857467371
FLR,13779.634109804845,117.38668625446773,65.47240857158049
FLS,461.1202517158238,21.473710711375055,15.02064292177068
FL,5382.894819980375,73.36821396204473,104.51797756248355
FMC,35428.508590534715,188.22462269993986,126.21668535822155
FOR,20266364.709999997,4501.817933901814,9398.551773107562
FRT,480.270888068527,21.91508357429939,6.5674162347227965
FTI,13971.98509787643,118.20315181024756,31.15711621971014
FTNT,3339.6775710677484,57.78994351154661,11.661635045129731
FUL,376.2707423656641,19.397699409096536,12.878681204282117
F,399236.0392821385,631.8512794021538,13.563597309946216
GCI,302.7741736523233,17.40040728409319,23.909440550325662
GD,43904.082322101334,209.53301010127578,10.219794890104932
GFF,138.34104600381372,11.761847048989106,8.577370528175516
GHC,103643.81627268037,321.93759686106927,50.19110264684774
GILD,6516695.506277553,2552.7819151422927,53.332199220465924
GIS,24309.36887413239,155.91462046303545,11.41474687021138
GLDD,89948889591153.83,9484138.842886781,64.76443908516109
GLW,11550.129071135183,107.4715267926123,13.600667218723137
GM,5510110.535867439,2347.3624636743766,21.88707304920869
GOGO,41.861518938765364,6.470047831257924,17.569490943711124
GOOG,54329972.43717345,7370.886814839409,17.960778123552323
GPC,6567.195378013618,81.0382340504383,14.37644141772975
GPI,504.04528684568396,22.450952916205672,7.4725160127221395
GTLS,19038.3665181915,137.9795873243267,52.503420507359486
GTN,2.0558597458904668e+16,143382695.81405097,29.22878582979126
GWW,24149.234408974382,155.40023941093006,21.105080026015123
HAL,2882.983038959002,53.69341709147409,4.177905101074387
HAS,38944.2459733128,197.34296535045985,151.60234354095675
HBI,8739.332941716475,93.48439945636103,109.43010475961002
HEES,101.13540043532856,10.056609788359523,5.36667087696876
HEI,2948.9798957346466,54.304510823085835,19.471335747133345
HES,426212.7317079657,652.8497007029763,34.15142799655419
HII,8871.457667996236,94.18841578451267,35.51648852434149
HIW,463.36996370060115,21.526029910334167,12.708734504693675
HI,16979.363428337336,130.30488643307794,52.056894505683715
HLX,993.4493898704553,31.519032184863406,49.59290141999049
HL,603.7587399585497,24.571502598712794,32.02489290557044
HOG,7777.2168379855675,88.18853008178313,97.87511738825926
HOLX,1232.5246610125198,35.10733058796296,9.31211529524441
HON,45819.32872862805,214.05449943560646,8.500146367902701
HPE,36714.81541256119,191.61110461703726,12.604593225697517
HPP,707.1046181220236,26.591438812558142,247.41643295281207
HPQ,12687.661928460868,112.63952205358858,7.713606812774209
HP,561.3433060516546,23.692684652686673,8.956391487601111
HRL,429.10734907770757,20.714906446269737,5.9485953851582405
HUBB,1217.035464798158,34.88603538377725,8.723263717934614
HUN,17802.239841610684,133.42503453854036,175.48206093622784
HXL,556.7048281543863,23.59459319747612,32.77150922834671
HY,472.545,21.738100192979147,23.396595526275096
H,78244.46086152145,279.7221136440976,40.25587481722685
IBM,1015348.1273350859,1007.6448418639803,23.363036694263535
IBP,247971446976192.6,15747109.162515912,11.85512002822935
ICUI,227.68503306177183,15.089235668574199,21.61081162181586
IEX,585.2310136242019,24.191548392449,10.896267352319693
IFF,5534.5547266902395,74.39458802016608,11.391270073507915
ILMN,24845.913106563854,157.62586433248782,164.39677527789496
INGR,6411.245649395532,80.0702544606643,23.041741495697817
INTC,3521737.2831718866,1876.6292343379623,507.6195692838105
INTU,14116.43075230885,118.81258667459795,13.749632727064201
IP,129892.72513860796,360.4063333774921,56.78906722075813
IRM,2499.1974494566034,49.99197385037525,8.434897424223248
IR,7672.822190396578,87.59464704190877,15.307142695126672
ITT,788.5981487214527,28.081989757163804,12.765999870715609
ITW,14942.167844957075,122.23816034674718,8.549739579621587
IT,15294.994029763924,123.67293167772779,37.17426350178535
JBHT,2535.542908500001,50.35417468790449,11.958835802217179
JBLU,203540.37869749323,451.15449537546806,349.6856109707379
JBL,1.6888795701898352e+16,129956899.40091042,21.834979093440488
JLL,4394021887729617.5,66287418.7740752,17.500684073711735
JNJ,5932917.306263167,2435.758055773021,36.84287555950424
JNPR,6970.880604550311,83.49179962457578,92.65868378367634
JWN,1.4638692380685926e+16,120990464.00723457,59.90194202188501
KALU,179.79130851980037,13.408628137128733,15.65726084768015
KAR,153.093031007461,12.373076860969586,11.182167401831585
KBH,1483.2692528315201,38.51323477496431,15.817305535577258
KEX,2981.163082046574,54.60002822386243,30.66587716707776
KEYS,7565.952411299203,86.98248335900283,25.159811108107714
KFY,949.1294132256285,30.807943995431252,31.568292812375777
KIM,1658.6498513918386,40.726525157344796,10.835908413671602
KLAC,37611.24327427042,193.936183509603,12.514150521390196
KMB,32427.853333580613,180.07735374993885,10.734759361756211
KMI,15237.056640220486,123.43847309579168,6.4715169332778935
KMT,201.57516683495598,14.197716958544989,14.895217946153814
KOP,253.6796696506287,15.927324623132057,18.813826975969683
KOS,11900.260015704409,109.08831291987427,33.02938683148817
KRC,2820.783448376708,53.11104827036186,39.53147122013668
KRG,603.2590970254288,24.561333372303483,13.86104536872567
KRO,197.32934210984305,14.047396275105328,131.2661506615922
KSS,75794.2733228082,275.3075976481728,91.54732501265407
K,5425.0353366849295,73.65483919393843,11.802307330905865
LCUT,108.10479792953525,10.397345715591804,46.46118140715901
LDOS,20429.313460910278,142.93114937238235,25.004217232553135
LEA,847.2290791710292,29.107199782373932,6.201745070320214
LEG,121878.0256601721,349.1103345078345,68.86213373977172
LEN,133367.67250865855,365.19538949534746,17.36479699572042
LGIH,3868882207534024.0,62200339.28793334,92.34046347448007
LHX,1.135996676272511e+16,106583144.83409236,10.37106079795469
LII,2616.192685306383,51.1487310234221,15.169842344244296
LKQ,839.8089306449428,28.97945704537859,5.48258883383541
LLY,2994187.251969566,1730.371998146516,37.85709076428353
LMT,278254.2890415012,527.4981412682903,20.261402478299917
LNG,393259625.9279263,19830.774718298988,923.2568110268526
LOW,651527.2320170081,807.1723682194579,20.766076613615816
LPX,46142.31572765389,214.80762492903713,132.50412463498478
LUMN,2.37325e+16,154053562.11396086,13.758575928159312
LUV,240001.65660706323,489.8996393212218,177.03203443494724
LVS,113203.07457623958,336.4566459088594,32.44936247822912
LW,5003477332769908.0,70735262.30084899,15.647224649911951
LXP,756.176146806681,27.49865718188219,94.1008841127414
LXU,3494.4009650341723,59.11345840867519,265.62542237928676
LYV,363247.1617910674,602.6998936378432,77.35940057856877
MAN,4657.914911939465,68.24891876022261,89.15608962734295
MAS,2640.592055979763,51.38669142861566,14.39252703561136
MAT,20464.001275039976,143.05244239452878,49.67138136361888
MCD,47061.511548694456,216.9366533085049,6.408199435588541
MCHP,282768.21923834627,531.7595502088761,99.93705737566195
MCK,36025.076364219094,189.80273012846547,13.621130673642936
MDLZ,455712.82909494377,675.0650554538753,18.274720812386132
MDT,78911.09131909758,280.9111804807662,7.265661273282449
MD,476.15045284437514,21.82087195426377,37.7368229768774
MELI,29930.137055022074,173.00328625497863,26.420367467419716
MGM,14067.87817024574,118.6080864454264,15.509432489008354
MHK,1030.0718501009976,32.09473243541684,7.714173084462404
MHO,536.0013618216036,23.151703216428885,11.550493863233486
MKC,197.05283110889272,14.03755075178333,3.4330126965791097
MKSI,1980.588394466194,44.50380202259346,16.539406613621622
MLM,245548.731974409,495.5287398066927,24.001122316402576
MMLP,29.88476257542023,5.466695763934575,17.348256135273665
MMM,98993.80825811984,314.6328149734542,10.890215475774518
MMS,1638.079738497043,40.47319777948171,25.354625086208333
MO,911163.5404885272,954.5488675225209,9.295990411931697
MPC,4453984.412308272,2110.446495959628,61.70703854395462
MPLX,30342.870035402913,174.1920492887173,9.210470359862207
MPW,289350.5147120259,537.9131107456165,161.47922196257954
MRK,20496637.44423564,4527.321221675754,78.06733011593478
MRO,10300.666666666692,101.49220002870511,8.148566216233032
MRVL,39437.852131578686,198.58965766519336,1663.970252787797
MSFT,23846226.820003632,4883.259855875339,13.183410934065916
MSI,109062.8543795236,330.2466568786482,173.7791467217286
MTCH,623.667154816883,24.97332886935346,7.443019152437268
MTDR,17437.51406994124,132.0511797370294,20.380693618973492
MTH,18027.211126545822,134.26545023402642,45.974485913069856
MTN,1959.8439477792854,44.270124777091894,25.873598521354573
MTX,157.38034107501184,12.545132166502345,12.705638453282278
MTZ,1658.8526654383902,40.72901503152747,13.610350382501494
MUR,20268.894179624407,142.36886660932723,32.71214074789104
MU,1744014.8247027285,1320.611534366836,46.45035948243798
MWA,448.4909780919666,21.177605579762,27.2669378994222
MXL,894.9910653406099,29.916401276567505,192.6951903470017
M,139809.09462463486,373.91054361255294,110.0310259883815
NDSN,539.6805809007448,23.2310262558662,8.35192254788262
NEM,565860.1209713473,752.2367452945564,74.38252293187504
NEU,4163.826156814288,64.52771619090736,32.279801918778425
NFG,28669.442047182893,169.32053049522048,127.01938554814728
NFLX,1802500.7429769367,1342.5724349087973,18.85237033385414
NGL,251.3875984268868,15.85520729687527,9.803357066009449
NHI,76.06803188349603,8.72169891038988,11.676314862938675
NNN,77.26384810250072,8.789985671347862,2.8631896701112862
NOC,340517.99481860065,583.5391973283377,3009.7565125369347
NOV,8865.83333333333,94.15855422282847,25.040251724371803
NOW,39432.140165028606,198.57527581506366,34.93532865370629
NSC,193805.66550728923,440.23364876766203,37.981399561857174
NSIT,585.9901363885268,24.20723314194596,17.21639784489234
NTAP,3470.7709877276934,58.91324967889391,14.308229601347614
NUE,1123490.971795385,1059.9485703539513,77.78752582268397
NVDA,1273285.6084727405,1128.3995783731668,6.305826785780109
NVR,4598.6935489446,67.81366786234615,10.652210225676129
NWL,24726.560921992943,157.246815300002,159.87979148868533
NWS,3267.201567349159,57.159439879596086,13.568580959262755
OC,4605.93171762949,67.86701494562355,9.703176038857258
OHI,4045.870858199605,63.60716043182249,24.17650861784582
